,correction,tokens,closest_sentence,confidence_score,predicted_feature,gt_feature,matches
1,Get close to bottle and turn right then move closer to apple and stay away from book,19,Move further away from bottle,0.61,bottle distance increase,"['bottle distance decrease', 'X-cartesian increase', 'apple distance decrease', 'book distance increase']",False
2,Approach the vase and move left then get nearer to the orange and stay down,17,Move closer to vase,0.72,vase distance decrease,"['vase distance decrease', 'X-cartesian decrease', 'orange distance decrease', 'Z-cartesian decrease']",False
3,Reduce the distance to the box and turn left then get a bit closer to the banana but avoid the pen,23,Move closer to banana,0.71,banana distance decrease,"['box distance decrease', 'X-cartesian decrease', 'banana distance decrease', 'pen distance increase']",False
4,Move closer to the cup and go right then keep close to the pear but step back from the notebook,22,Move closer to pear,0.68,pear distance decrease,"['cup distance decrease', 'X-cartesian increase', 'pear distance decrease', 'notebook distance increase']",False
5,Stay close to the jar and move leftward then decrease the distance to the watermelon but avoid the magazine,24,Keep a bigger distance from watermelon,0.73,watermelon distance increase,"['jar distance decrease', 'X-cartesian decrease', 'watermelon distance decrease', 'magazine distance increase']",False
6,Get nearer to the bottle and approach the monitor then get a little bit lower and stay down,20,Move closer to bottle,0.68,bottle distance decrease,"['bottle distance decrease', 'monitor distance decrease', 'Z-cartesian decrease', 'Z-cartesian decrease']",False
7,Retreat from the table and move rightwards then move down and keep your distance from the textbook,21,Move further away from textbook,0.71,textbook distance increase,"['table distance increase', 'X-cartesian increase', 'Z-cartesian decrease', 'textbook distance increase']",False
8,Get closer to the plate and go forward then move closer to the peach but steer clear of the journal,22,Move closer to peach,0.68,peach distance decrease,"['plate distance decrease', 'Y-cartesian increase', 'peach distance decrease', 'journal distance increase']",False
9,Retreat from the glass and stay left then increase the distance from the mango and move a bit further away from the diary,25,Move further away from mango,0.65,mango distance increase,"['glass distance increase', 'X-cartesian decrease', 'mango distance increase', 'diary distance increase']",False
10,Keep a greater distance from the bowl and move right then move up and avoid the notebook,19,Move further away from bowl,0.67,bowl distance increase,"['bowl distance increase', 'X-cartesian increase', 'Z-cartesian increase', 'notebook distance increase']",False
11,Traverse right and get closer to the desktop then stay elevated and go backwards,16,Move further away from desktop,0.74,desktop distance increase,"['X-cartesian increase', 'desktop distance decrease', 'Z-cartesian increase', 'Y-cartesian decrease']",False
12,Move nearer to the book and go rightward then go down and stay close to the book,20,Move closer to book,0.79,book distance decrease,"['book distance decrease', 'X-cartesian increase', 'Z-cartesian decrease', 'book distance decrease']",False
13,Get a bit closer to the can and move leftward then descend downward and avoid the magazine,20,Keep a smaller distance from magazine,0.65,magazine distance decrease,"['can distance decrease', 'X-cartesian decrease', 'Z-cartesian decrease', 'magazine distance increase']",False
14,Stay near the cup and move rightwards then move lower and increase the distance from the notebook,21,Keep a bigger distance from cup,0.66,cup distance increase,"['cup distance decrease', 'X-cartesian increase', 'Z-cartesian decrease', 'notebook distance increase']",False
15,Get closer to the plate and approach the laptop then remain at a lower position and keep your distance from the journal,24,Stay close to notebook,0.62,notebook distance decrease,"['plate distance decrease', 'laptop distance decrease', 'Z-cartesian decrease', 'journal distance increase']",False
16,Move away from the glass and stay left then go up and move a bit further away from the diary,22,Move closer to diary,0.7000000000000001,diary distance decrease,"['glass distance increase', 'X-cartesian decrease', 'Z-cartesian increase', 'diary distance increase']",False
17,Keep a greater distance from the bowl and move rightwards then ascend upwards and avoid the notebook,22,Move further away from bowl,0.66,bowl distance increase,"['bowl distance increase', 'X-cartesian increase', 'Z-cartesian increase', 'notebook distance increase']",False
18,Move nearer to the jar and go rightward then stay elevated and avoid the textbook,18,Move further away from textbook,0.65,textbook distance increase,"['jar distance decrease', 'X-cartesian increase', 'Z-cartesian increase', 'textbook distance increase']",False
