,correction,tokens,closest_sentence,confidence_score,predicted_feature,gt_feature,matches
1,Get close to bottle and turn right then move closer to apple and stay away from book,17,Move closer to bottle,0.9,bottle distance decrease,"['bottle distance decrease', 'X-cartesian increase', 'apple distance decrease', 'book distance increase']",False
2,Approach the vase and move left then get nearer to the orange and stay down,16,Move closer to vase,0.89,vase distance decrease,"['vase distance decrease', 'X-cartesian decrease', 'orange distance decrease', 'Z-cartesian decrease']",False
3,Reduce the distance to the box and turn left then get a bit closer to the banana but avoid the pen,21,Decrease distance to banana,0.91,banana distance decrease,"['box distance decrease', 'X-cartesian decrease', 'banana distance decrease', 'pen distance increase']",False
4,Move closer to the cup and go right then keep close to the pear but step back from the notebook,20,Move closer to notebook,0.9,notebook distance decrease,"['cup distance decrease', 'X-cartesian increase', 'pear distance decrease', 'notebook distance increase']",False
5,Stay close to the jar and move leftward then decrease the distance to the watermelon but avoid the magazine,21,Decrease distance to watermelon,0.9,watermelon distance decrease,"['jar distance decrease', 'X-cartesian decrease', 'watermelon distance decrease', 'magazine distance increase']",False
6,Get nearer to the bottle and approach the monitor then get a little bit lower and stay down,18,Stay close to bottle,0.89,bottle distance decrease,"['bottle distance decrease', 'monitor distance decrease', 'Z-cartesian decrease', 'Z-cartesian decrease']",False
7,Retreat from the table and move rightwards then move down and keep your distance from the textbook,19,Move further away from textbook,0.91,textbook distance increase,"['table distance increase', 'X-cartesian increase', 'Z-cartesian decrease', 'textbook distance increase']",False
8,Get closer to the plate and go forward then move closer to the peach but steer clear of the journal,20,Keep a smaller distance from peach,0.89,peach distance decrease,"['plate distance decrease', 'Y-cartesian increase', 'peach distance decrease', 'journal distance increase']",False
9,Retreat from the glass and stay left then increase the distance from the mango and move a bit further away from the diary,24,Move further away from glass,0.9,glass distance increase,"['glass distance increase', 'X-cartesian decrease', 'mango distance increase', 'diary distance increase']",False
10,Keep a greater distance from the bowl and move right then move up and avoid the notebook,17,Keep a bigger distance from bowl,0.92,bowl distance increase,"['bowl distance increase', 'X-cartesian increase', 'Z-cartesian increase', 'notebook distance increase']",False
11,Traverse right and get closer to the desktop then stay elevated and go backwards,15,Move closer to desktop,0.88,desktop distance decrease,"['X-cartesian increase', 'desktop distance decrease', 'Z-cartesian increase', 'Y-cartesian decrease']",False
12,Move nearer to the book and go rightward then go down and stay close to the book,18,Move closer to book,0.92,book distance decrease,"['book distance decrease', 'X-cartesian increase', 'Z-cartesian decrease', 'book distance decrease']",False
13,Get a bit closer to the can and move leftward then descend downward and avoid the magazine,18,Move further away from magazine,0.9,magazine distance increase,"['can distance decrease', 'X-cartesian decrease', 'Z-cartesian decrease', 'magazine distance increase']",False
14,Stay near the cup and move rightwards then move lower and increase the distance from the notebook,18,Move closer to cup,0.91,cup distance decrease,"['cup distance decrease', 'X-cartesian increase', 'Z-cartesian decrease', 'notebook distance increase']",False
15,Get closer to the plate and approach the laptop then remain at a lower position and keep your distance from the journal,22,Keep a smaller distance from notebook,0.91,notebook distance decrease,"['plate distance decrease', 'laptop distance decrease', 'Z-cartesian decrease', 'journal distance increase']",False
16,Move away from the glass and stay left then go up and move a bit further away from the diary,20,Move further away from diary,0.91,diary distance increase,"['glass distance increase', 'X-cartesian decrease', 'Z-cartesian increase', 'diary distance increase']",False
17,Keep a greater distance from the bowl and move rightwards then ascend upwards and avoid the notebook,18,Keep a bigger distance from notebook,0.91,notebook distance increase,"['bowl distance increase', 'X-cartesian increase', 'Z-cartesian increase', 'notebook distance increase']",False
18,Move nearer to the jar and go rightward then stay elevated and avoid the textbook,16,Move closer to textbook,0.89,textbook distance decrease,"['jar distance decrease', 'X-cartesian increase', 'Z-cartesian increase', 'textbook distance increase']",False
19,Move closer to the plate and get close to the desktop then move lower and steer clear of the magazine,20,Move further away from magazine,0.92,magazine distance increase,"['plate distance decrease', 'desktop distance decrease', 'Z-cartesian decrease', 'magazine distance increase']",False
20,Move forward and move rightwards then decrease the distance to the notebook and move a bit further away from the diary,22,Move further away from diary,0.91,diary distance increase,"['Y-cartesian increase', 'X-cartesian increase', 'notebook distance decrease', 'diary distance increase']",False
21,move more left and stay closer to the bottle,9,Move closer to bottle,0.9400000000000001,bottle distance decrease,"['X-cartesian decrease', 'bottle distance decrease']",False
22,"stay closer to the laptop and cup, move up a little bit",13,Move closer to laptop,0.91,laptop distance decrease,"['laptop distance decrease', 'cup distance decrease', 'Z-cartesian increase']",False
23,move down and closer to the plate and microwave,9,Move closer to microwave,0.92,microwave distance decrease,"['Z-cartesian decrease', 'Plate distance decrease', 'Microwave distance decrease']",False
24,avoid the cake and the fridge,6,Stay away from cake,0.91,cake distance increase,"['cake distance increase', 'fridge distance increase']",False
25,move away from bottle and book then move closer to cup,11,Move further away from bottle,0.92,bottle distance increase,"['bottle distance increase', 'book distance increase', 'cup distance decrease']",False
26,move away from bottle and then move closer to cup,10,Move further away from bottle,0.93,bottle distance increase,"['bottle distance increase', 'cup distance decrease']",False
27,move closer to egg and cake,6,Move closer to cake,0.9500000000000001,cake distance decrease,"['Egg distance decrease', 'Cake distance decrease']",False
28,move closer to the bottle and move further from the laptop,11,Move further away from laptop,0.93,laptop distance increase,"['bottle distance decrease', 'laptop distance increase']",False
29,move up,2,Move up,0.98,Z-cartesian increase,['Z-cartesian increase'],True
30,move right,2,Move right,0.98,X-cartesian increase,['X-cartesian increase'],True
31,keep close to pineapple,4,Stay close to pineapple,0.98,pineapple distance decrease,['Pineapple distance decrease'],True
32,move near the bottle,4,Move closer to bottle,0.97,bottle distance decrease,['Bottle distance decrease'],True
33,move near the pineapple,4,Move closer to pineapple,0.97,pineapple distance decrease,['Pineapple distance decrease'],True
34,move further from the cake,5,Move further away from cake,0.96,cake distance increase,['Cake distance increase'],True
35,move closer to the fridge,5,Move closer to fridge,0.98,fridge distance decrease,['Fridge distance decrease'],True
36,keep right and stay closer to the bottle,8,Stay close to bottle,0.9500000000000001,bottle distance decrease,"['X-cartesian increase', 'Bottle distance decrease']",False
37,"stay closer to the vase and cup, move up a little bit",13,Move closer to vase,0.92,vase distance decrease,"['Vase distance decrease', 'Cup distance decrease', 'Z-cartesian increase']",False
38,move lower and closer to the banana and apple,9,Move closer to banana,0.92,banana distance decrease,"['Z-cartesian decrease', 'Banana distance decrease', 'Apple distance decrease']",False
39,stay extremely far away from the bottle and cup,9,Stay away from bottle,0.93,bottle distance increase,"['Bottle distance increase', 'Cup distance increase']",False
40,stay away from laptop,4,Stay away from laptop,0.99,laptop distance increase,['Laptop distance increase'],True
41,stay further away from the pineapple,6,Keep a bigger distance from pineapple,0.96,pineapple distance increase,['Pineapple distance increase'],True
42,stay closer to spoon,4,Stay close to spoon,0.97,spoon distance decrease,['Spoon distance decrease'],True
43,move upwards,2,Move up,0.9400000000000001,Z-cartesian increase,['Z-cartesian increase'],True
44,move further from laptop,4,Move further away from laptop,0.97,laptop distance increase,['Laptop distance increase'],True
45,move closer to pineapple,4,Move closer to pineapple,0.99,pineapple distance decrease,['Pineapple distance decrease'],True
46,move nearer to spoon,4,Move closer to spoon,0.98,spoon distance decrease,['Spoon distance decrease'],True
47,move lower,2,Move lower,0.97,Z-cartesian decrease,['Z-cartesian decrease'],True
48,avoid cake,2,Avoid cake,0.98,cake distance increase,['Cake distance increase'],True
49,move away from bottle and then closer to cup,9,Move further away from bottle,0.9400000000000001,bottle distance increase,"['Bottle distance increase', 'Cup distance decrease']",False
50,move closer to spoon,4,Move closer to spoon,0.99,spoon distance decrease,['Spoon distance decrease'],True
51,move closer to microwave,4,Move closer to microwave,0.99,microwave distance decrease,['Microwave distance decrease'],True
52,retreat from the bottle,5,Move further away from bottle,0.9,bottle distance increase,['Bottle distance increase'],True
53,move towards bottle,3,Move closer to bottle,0.96,bottle distance decrease,['Bottle distance decrease'],True
54,move away from laptop,4,Move further away from laptop,0.97,laptop distance increase,['Laptop distance increase'],True
55,move away from pineapple,4,Move further away from pineapple,0.97,pineapple distance increase,['Pineapple distance increase'],True
56,move towards spoon,3,Move closer to spoon,0.96,spoon distance decrease,['Spoon distance decrease'],True
57,move towards cake,3,Move closer to cake,0.96,cake distance decrease,['Cake distance decrease'],True
58,move towards egg,3,Move closer to egg,0.96,egg distance decrease,['Egg distance decrease'],True
59,go close to cup,4,Stay close to cup,0.96,cup distance decrease,['Cup distance decrease'],True
60,move down,2,Move down,0.98,Z-cartesian decrease,['Z-cartesian decrease'],True
61,move to pineapple,3,Move closer to pineapple,0.96,pineapple distance decrease,['Pineapple distance decrease'],True
62,"move to pineapple, move down",6,Move closer to pineapple,0.93,pineapple distance decrease,"['Pineapple distance decrease', 'Z-cartesian decrease']",False
63,avoid the fridge,3,Stay away from fridge,0.96,fridge distance increase,['Fridge distance increase'],True
64,closer to cake,4,Stay close to cake,0.93,cake distance decrease,['Cake distance decrease'],True
65,move closer to bottle,4,Move closer to bottle,0.99,bottle distance decrease,['Bottle distance decrease'],True
66,avoid the cake,3,Stay away from cake,0.96,cake distance increase,['Cake distance increase'],True
67,move closer to egg,4,Move closer to egg,0.99,egg distance decrease,['Egg distance decrease'],True
68,move towards the bottle,4,Move closer to bottle,0.9500000000000001,bottle distance decrease,['Bottle distance decrease'],True
69,move closer to the spoon,5,Move closer to spoon,0.98,spoon distance decrease,['Spoon distance decrease'],True
70,move away from the microwave,5,Move further away from microwave,0.97,microwave distance increase,['Microwave distance increase'],True
71,move towards the egg,4,Move closer to egg,0.9400000000000001,egg distance decrease,['Egg distance decrease'],True
72,left,1,Left,0.96,X-cartesian decrease,['X-cartesian decrease'],True
73,up,1,Up,0.9500000000000001,Z-cartesian increase,['Z-cartesian increase'],True
74,move to the cake,4,Move closer to cake,0.9500000000000001,cake distance decrease,['Cake distance decrease'],True
75,avoid the egg,3,Stay away from egg,0.9500000000000001,egg distance increase,['Egg distance increase'],True
76,move closer to the cup,5,Move closer to cup,0.98,cup distance decrease,['Cup distance decrease'],True
77,move closer to the pineapple,5,Move closer to pineapple,0.98,pineapple distance decrease,['Pineapple distance decrease'],True
78,move closer to the egg,5,Move closer to egg,0.98,egg distance decrease,['Egg distance decrease'],True
79,move higher,2,Move higher,0.9500000000000001,Z-cartesian increase,['Z-cartesian increase'],True
80,move closer to the bottle,5,Move closer to bottle,0.98,bottle distance decrease,['Bottle distance decrease'],True
81,move away from the pineapple,5,Move further away from pineapple,0.96,pineapple distance increase,['Pineapple distance increase'],True
82,move away from the cake,5,Move further away from cake,0.96,cake distance increase,['Cake distance increase'],True
83,closer to the bottle and further from the laptop,10,Move further away from laptop,0.9,laptop distance increase,"['Bottle distance decrease', 'Laptop distance increase']",False
84,keep close to the table but stay clear from cup,10,Keep a smaller distance from cup,0.93,cup distance decrease,"['Table distance decrease', 'Cup distance increase']",False
85,closer to the cake,5,Stay close to cake,0.93,cake distance decrease,['Cake distance decrease'],True
86,move away from the laptop but closer to the cup,10,Move closer to laptop,0.92,laptop distance decrease,"['Laptop distance increase', 'Cup distance decrease']",False
87,move to the right,4,Move more towards the right,0.9500000000000001,X-cartesian increase,['X-cartesian increase'],True
88,move towards the spoon,4,Move closer to spoon,0.9500000000000001,spoon distance decrease,['Spoon distance decrease'],True
89,Get closer to the can,5,Move closer to can,0.93,can distance decrease,['Can distance decrease'],True
90,Traverse right,3,Go to the right,0.9,X-cartesian increase,['X-cartesian increase'],True
91, Move forward and then move right,6,Move forward,0.89,Y-cartesian increase,"['Y-cartesian increase', 'X-cartesian increase']",False
92,Move backward and then move up,6,Move backward,0.93,Y-cartesian decrease,"['Y-cartesian decrease', 'Z-cartesian increase']",False
93,Approach the cup but avoid the scissors and keep left,11,Keep a smaller distance from cup,0.88,cup distance decrease,"['Cup distance decrease', 'Scissors distance increase', 'X-cartesian decrease']",False
94,Go close to the banana but keep a distance from apple,11,Keep a smaller distance from banana,0.9400000000000001,banana distance decrease,"['Banana distance decrease', 'Apple distance increase']",False
95,Move towards the cup and keep left,7,Move closer to cup,0.92,cup distance decrease,"['Cup distance decrease', 'X-cartesian decrease']",False
96,Move a little bit forward,5,Move forward,0.92,Y-cartesian increase,['Y-cartesian increase'],True
97,Stay nearer to cup but keep a distance from the scissors,11,Keep a smaller distance from cup,0.93,cup distance decrease,"['Cup distance decrease', 'Scissors distance increase']",False
98,Stay far from the book and keep right while moving forward,11,Keep a bigger distance from book,0.91,book distance increase,"['Book distance increase', 'X-cartesian increase', 'Y-cartesian increase']",False
99,Move towards the book and keep back from the banana,10,Move further away from banana,0.91,banana distance increase,"['book distance decrease', 'banana distance increase']",False
100,Take a step forward,4,Move forward,0.9500000000000001,Y-cartesian increase,['Y-cartesian increase'],True
